Longitude (x),Latitude (y),Station Name,Climate ID,Date/Time,Year,Month,Day,Data Quality,Max Temp (°C),Max Temp Flag,Min Temp (°C),Min Temp Flag,Mean Temp (°C),Mean Temp Flag,Heat Deg Days (°C),Heat Deg Days Flag,Cool Deg Days (°C),Cool Deg Days Flag,Total Rain (mm),Total Rain Flag,Total Snow (cm),Total Snow Flag,Total Precip (mm),Total Precip Flag,Snow on Grnd (cm),Snow on Grnd Flag,Dir of Max Gust (10s deg),Dir of Max Gust Flag,Spd of Max Gust (km/h),Spd of Max Gust Flag
-100.65,52.03,COWAN,5040FJ3,2/20/2016,2016,2,20,†,-9,,-15,,-12,,30,,0,,0,,0,,0,,0,,,,,
-100.65,52.03,COWAN,5040FJ3,2/21/2016,2016,2,21,†,-6,,-29,,-17.5,,35.5,,0,,0,,0,,0,,0,,,,,
-100.65,52.03,COWAN,5040FJ3,2/22/2016,2016,2,22,†,0,,-8,,-4,,22,,0,,0,,2,,2,,0,,,,,
-100.65,52.03,COWAN,5040FJ3,2/23/2016,2016,2,23,†,0,,-8,,-4,,22,,0,,0,,0,,0,,0,,,,,
-100.65,52.03,COWAN,5040FJ3,2/24/2016,2016,2,24,†,-2,,-13,,-7.5,,25.5,,0,,0,,0,,0,,0,,,,,
-100.65,52.03,COWAN,5040FJ3,2/25/2016,2016,2,25,†,2,,-20,,-9,,27,,0,,0,,0,,0,,0,,,,,
-100.65,52.03,COWAN,5040FJ3,2/26/2016,2016,2,26,†,10,,-4,,3,,15,,0,,0,,1,,1,,0,,,,,
-100.65,52.03,COWAN,5040FJ3,2/27/2016,2016,2,27,†,-11,,-15,,-13,,31,,0,,0,,6,,6,,0,,,,,
-100.65,52.03,COWAN,5040FJ3,2/28/2016,2016,2,28,†,-10,,-18,,-14,,32,,0,,0,,1,,1,,0,,,,,
-100.65,52.03,COWAN,5040FJ3,2/29/2016,2016,2,29,†,-10,,-27,,-18.5,,36.5,,0,,0,,0,,0,,0,,,,,
